Jensen,264824
Nielsen,264159
Hansen,220956
Pedersen,166417
Andersen,161379
Christensen,121147
Larsen,118144
Rasmussen,96250
Petersen,81250
Madsen,65222
Kristensen,61274
Olsen,49091
Christiansen,37493
Thomsen,39473
Poulsen,32526
Johansen,31517
Knudsen,29787
Mortensen,29651
Jacobsen,24711
Jakobsen,28325
Olesen,22844
Frederiksen,20472
Mikkelsen,22848
Henriksen,17638
Laursen,18435
Lund,17234
Schmidt,15842
Eriksen,15046
Holm,15760
Kristiansen,13976
Clausen,13084
Simonsen,13203
Svendsen,11812
Andreasen,11802
Iversen,10674
Jeppesen,9944
Mogensen,8974
Jespersen,8967
Nissen,9277
Lauridsen,9245
Frandsen,8587
Jepsen,8640
Carlsen,7050
Vestergaard,9314
Jessen,7594
Dahl,7792
Christoffersen,6400
Skov,7584
Bertelsen,6860
Bruun,6512
Lassen,6070
Bach,6238
Gregersen,5874
Friis,5815
Johnsen,5136
Steffensen,4917
Kjeldsen,5070
Bech,5106
Krogh,5206
Lauritsen,4702
Danielsen,4669
Mathiesen,4286
Andresen,4479
Brandt,4448
Winther,5303
Toft,4732
Ravn,4642
Mathiasen,3704
Dam,4235
Holst,4278
Nilsson,3716
Lind,4286
Berg,4140
Schou,3848
Overgaard,4107
Kristoffersen,3567
Schultz,3725
Klausen,3614
Karlsen,3387
Paulsen,3435
Hermansen,3475
Thorsen,3684
Koch,3538
Thygesen,3574
Bak,3998
Kruse,3631
Bang,3719
Juhl,3562
Davidsen,3050
Berthelsen,2382
Nygaard,3985
Lorentzen,3213
Villadsen,3366
Lorenzen,3355
Damgaard,3830
Bjerregaard,3743
Lange,3044
Hedegaard,3719
Bendtsen,2898
Lauritzen,3043
Svensson,2840
Justesen,2926
Juul,3483
Hald,3425
Beck,3086
Kofoed,2762
Munk,3269
Meyer,2896
Riis,3287
Johannsen,2855
Carstensen,2667
Bonde,2975
Ibsen,2687
Fischer,2892
Andersson,2624
Bundgaard,3156
Aagaard,3169
Johannesen,2557
Eskildsen,2607
Hemmingsen,2432
Andreassen,2389
Thomassen,2328
Persson,2373
Hjorth,2874
Enevoldsen,2514
Nguyen,3791
Henningsen,2229
Olsson,2099
Asmussen,2385
Michelsen,2388
Vinther,2766
Markussen,2196
Kragh,2398
Johansson,2173
Dalsgaard,2782
Gade,2710
Bjerre,2752
Ali,3620
Laustsen,2193
Buch,2135
Ludvigsen,1831
Hougaard,2509
Kirkegaard,2610
Marcussen,1950
Ipsen,1924
Sommer,2814
Ottosen,1810
Krog,2103
Hoffmann,2359
Clemmensen,1972
Nikolajsen,2077
Brodersen,2069
Therkildsen,1857
Leth,2074
Michaelsen,1794
Graversen,1981
Frost,2180
Dalgaard,2231
Albertsen,1820
Laugesen,1917
Due,1844
Ebbesen,1848
Munch,1973
Svenningsen,1787
Ottesen,1737
Fisker,1909
Albrechtsen,1617
Axelsen,1723
Erichsen,1607
Sloth,2037
Bentsen,1680
Westergaard,1820
Bisgaard,2039
Nicolaisen,1593
Magnussen,1504
Thuesen,1671
Povlsen,1604
Thorup,1833
Bentzen,1581
Johannessen,1610
